outcome,coef,se,pval,n_obs,mean_wait,ci_lo,ci_hi
all_orders,-0.0204936642533458,0.00421946528205943,1.77940523804848e-06,9774,17.6883877575346,-0.0287638162061823,-0.0122235123005094
single_order_days,-0.0181121639127042,0.0045089581492402,7.19187202559139e-05,8521,13.6089774396754,-0.026949721885215,-0.00927460594019343
stacked_order_days,-0.0719100912967863,0.00716680327262858,5.13498715643825e-21,8997,18.8954421688409,-0.0859570257111383,-0.0578631568824343
