sample,n_riders,n_rider_days,mean_oph,mean_orders,mean_labor,mean_fee,mean_oph_pct_of_active,mean_orders_pct_of_active,mean_labor_pct_of_active,mean_fee_pct_of_active
All active Busan riders,1085,35410,4.58569147637436,30.6310081897769,6.77131539270137,91736.3253035879,100,100,100,100
Analytic full sample,936,33896,4.62035201263815,30.8071453858862,6.76237569001915,92296.4742742524,100.75584099895,100.575029052319,99.8679768676576,100.610607596076
Matched sample,372,10121,4.88842048391299,26.7324375061753,5.60368557125449,79685.3623159774,106.601599978941,87.2724702384991,82.7562334091624,86.8634775289618
