store_id,store_name,franchise_name,si_do,si_gun_gu,eup_myeon_dong,category,monitoring_partner_id,lat,lng,enterprise_registration_number
73942,(문정)과일을담다,"",서울특별시,송파구,문정동,기타음식,90,37.48534871,127.11920422,8152100940
73943,구서동 60계치킨(new),"",부산광역시,금정구,구서동,치킨,296,35.24532452,129.08765894,4866700401
73944,카페보라 가양1동,"",서울특별시,강서구,가양동,카페/베이커리/디저트,966,37.56684847,126.84381035,3662400906
73945,왕가후주,"",광주광역시,북구,용봉동,한식,984,35.17735559,126.91396205,7591001395
73946,꼬꼬누리 답십리점,"",서울특별시,동대문구,답십리동,치킨,1644,37.57569508,127.06728154,1950301730
73947,별빛담은잔 원호점,"",경상북도,구미시,고아읍 원호리,한식,1307,36.15213294,128.33240202,5131925192
73948,(영덕)꼬꼬마 꼬마김밥,"",경기도,용인시 기흥구,영덕동,분식,483,37.27783359,127.07392842,8283500939
73949,명촌알부자 진장동,"",울산광역시,북구,진장동,한식,1161,35.55625406,129.35875447,6151333977
73950,마부 마라탕 을지로점,"",서울특별시,중구,을지로6가,중식,612,37.56690500,127.00687208,5508701335
73951,88켄터키치킨(하남콜럼버스점),"",광주광역시,광산구,우산동,치킨,1217,35.16285409,126.81226821,8886700363
73952,웅추해신삼계탕 용봉점,"",광주광역시,북구,용봉동,한식,790,35.18281681,126.89547572,2551301496
73953,우1동 836숯불바베큐치킨,"",부산광역시,해운대구,우동,치킨,1584,35.16315990,129.15845368,3134000426
73954,네네치킨 성사점,"",경기도,고양시 덕양구,성사동,치킨,740,37.65787770,126.84116279,2721001466
73955,더벤티 지정면,"",강원도,원주시,지정면 가곡리,카페/베이커리/디저트,865,37.3743607,127.8750923,7705900387
73956,스시킴,"",경기도,남양주시,별내면 청학리,일식류,1075,37.70776459,127.11853986,1322794501
73957,[단계] 경성꽈배기,"",강원특별자치도,원주시,단계동,분식,2478,37.34906920,127.92924429,6780201693
73958,카페베네 대구보건대점,카페베네(주식회사 카페베네),대구광역시,북구,태전동,카페/베이커리/디저트,649,35.92672404,128.54605387,6270401501
73959,미스사이공 일산백마점,미스사이공(엠푸드에스앤시),경기도,고양시 일산동구,마두동,기타음식,597,37.65472100,126.78959977,3061493495
73960,밥이면돼지 역동,"",경기도,광주시,역동,구이류,831,37.40639277,127.25943211,7517500275
73961,해브커피 태전동,"",대구광역시,북구,태전동,카페/베이커리/디저트,649,35.92221261,128.54897580,4685200506
73962,마라집 성복본점(배차후 7분),"",경기도,용인시 수지구,성복동,중식,881,37.31046002,127.08184238,8903000939
73963,상일동★신마라명가 강동점,"",서울특별시,강동구,상일동,중식,2455,37.55037405,127.17211740,2941501383
73964,(남)봉평메밀마당 아주점,"",경상남도,거제시,아주동,한식,1638,34.86683633,128.68957230,6120587009
73965,한솥도시락 원주연세대점,"",강원도,원주시,흥업면 매지리,도시락/컵밥/덮밥,865,37.27928810,127.91035781,2241155276
73966,삼산 서소문,"",울산광역시,남구,달동,한식,1642,35.53583659,129.33531347,2330302031
